pm25,pm10,no,no2,nox,so2,co,ozone,t2m,wind_speed,humidity,precip_mm,msl,wind_dir_sin,wind_dir_cos,is_monsoon,inversion_flag,traffic_index,is_weekend,is_gazetted_holiday,is_restricted_holiday,fire_count,daily_frp,is_festival,festival_intensity,is_wedding_heavy,fire_wind_interaction,region_Central,region_East,region_North,region_South,region_West,AQI,AQI_lag1,AQI_lag2,AQI_lag3,AQI_rolling_mean_3,AQI_rolling_mean_7,pm25_lag1,pm25_lag2,pm25_lag3,pm25_rolling_mean_3,pm25_rolling_mean_7,datetime,region_name,month,day_of_week,day_of_month,hour,season,is_holiday,pm10_lag1,no2_lag1,so2_lag1,co_lag1,temp_humidity_interaction,wind_pm25_interaction,wind_aqi_interaction
183.7775911,292.8109722,48.9225651,33.40229167,69.06482205,10.26397444,1.17997367,15.42163194,9.390977917,1.906177871,87.31196604,0.0,1023.25785,-0.774438979,0.632648614,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,349,394.0,395.0,317.0,379.3333333333333,363.75,242.5562155,243.2433879,142.6350234,209.4782089333333,225.24058302857145,2023-01-04,Central,1,2,4,0,1,0,370.4591752,37.05068576,12.04541589,1.140910892,819.9447449714941,350.3127773405065,665.256076979
220.5520443,328.2204514,76.2818533,41.1163151,97.78325521,8.855902778,1.574160525,11.29844321,8.265088542,1.674718738,90.74271685,0.004558432,1024.535653,-0.760486842,0.649353342,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,377,349.0,394.0,395.0,373.3333333333333,366.4,183.7775911,242.5562155,243.2433879,223.19239816666664,225.24058302857145,2023-01-05,Central,1,3,5,0,1,0,292.8109722,33.40229167,10.26397444,1.17997367,749.9965893068853,369.36264129341606,631.368964226
281.950191,462.9378993,50.02329861,48.87442274,78.62318142,9.261886071,1.375254498,17.03768295,7.38276875,1.444545489,88.36650058,0.029996045,1024.694358,-0.742273573,0.670096965,0,1,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,441,377.0,349.0,394.0,389.0,378.8333333333333,220.5520443,183.7775911,242.5562155,215.62861696666667,225.24058302857145,2023-01-06,Central,1,4,6,0,1,0,328.2204514,41.1163151,8.855902778,1.574160525,652.3894390288808,407.28987653173846,637.044560649
261.969628,436.9721441,89.11334201,46.24606337,114.1065278,12.52106481,1.772005208,16.84860621,8.273568229,2.167686945,87.43199487,0.002936644,1022.046144,-0.551844157,0.833947256,0,0,4,1,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,409,441.0,377.0,349.0,409.0,383.14285714285717,281.950191,220.5520443,183.7775911,228.7599421333333,225.24058302857145,2023-01-07,Central,1,5,7,0,1,0,462.9378993,48.87442274,9.261886071,1.375254498,723.374574954523,567.8681426021064,886.5839605049999
291.4332973,424.4185355,98.19279094,45.13369801,120.2873419,10.51098351,1.924561713,19.4700889,9.797186979,1.908762828,86.37628922,0.000381197,1019.723655,-0.599869783,0.800097646,0,0,2,1,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,432,409.0,441.0,377.0,427.3333333333333,399.57142857142856,261.969628,281.950191,220.5520443,254.8239544333333,225.24058302857145,2023-01-08,Central,1,6,8,0,1,0,436.9721441,46.24606337,12.52106481,1.772005208,846.244656040522,556.2770447277128,824.585541696
426.2068967,579.6208012,120.3148574,62.16011471,148.9103509,10.89031085,2.476701173,21.09803137,10.83251594,1.541045576,85.78516683,0.019392914,1020.564408,-0.81021723,0.586129713,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,587,432.0,409.0,441.0,476.0,427.0,291.4332973,261.969628,281.950191,278.45103876666667,246.4974793,2023-01-09,Central,1,0,9,0,1,0,424.4185355,45.13369801,10.51098351,1.924561713,929.2691871015343,656.804252620224,904.593753112
263.5177648,371.4767969,83.63429688,43.10081597,105.677895,8.635354287,1.870946867,17.63662553,11.42828323,2.257518401,82.96800124,7.63e-05,1018.673195,-0.637984304,0.770049367,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,410,587.0,432.0,409.0,476.3333333333333,429.2857142857143,426.2068967,291.4332973,261.969628,326.53660733333334,272.6351234142857,2023-01-10,Central,1,1,10,0,1,0,579.6208012,62.16011471,10.89031085,2.476701173,948.1818171977113,594.8962030263901,925.58254441
180.5827734,272.8149653,42.69894965,42.26102865,67.01398003,8.029571759,1.222142588,16.9230816,12.18217802,1.402312651,87.74062637,1.298802499,1014.577716,-0.061365675,-0.998115351,0,1,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,347,410.0,587.0,432.0,448.0,429.0,263.5177648,426.2068967,291.4332973,327.0526529333334,275.62963045714287,2023-01-11,Central,1,2,11,0,1,0,371.4767969,43.10081597,8.635354287,1.870946867,1068.8719300256464,253.23350769148627,486.60248989699994
201.2275087,297.1276302,46.86703125,38.91634115,67.93357205,8.139302249,1.375768229,17.85115885,14.45559188,3.010142412,84.00974407,0.242596417,1012.031966,0.543495573,-0.839412033,0,0,5,0,0,0,0,0.0,0,0,0,0.0,True,False,False,False,False,362,347.0,410.0,587.0,373.0,426.85714285714283,180.5827734,263.5177648,426.2068967,290.10247830000003,275.1732279285714,2023-01-12,Central,1,3,12,0,1,0,272.8149653,42.26102865,8.029571759,1.222142588,1214.41057421917,605.7234583989689,1089.671553144
225.054809,317.9713368,48.51420612,41.08103496,71.24134351,8.801099537,1.464644097,19.05009115,14.77176875,0.365754914,89.2950273,5.244782471,1014.085847,-0.753838079,-0.657060233,0,1,5,0,0,0,0,0.0,1,4,0,0.0,True,False,False,False,False,381,362.0,347.0,410.0,363.3333333333333,418.2857142857143,201.2275087,180.5827734,263.5177648,215.10934896666663,272.4125799857143,2023-01-13,Central,1,4,13,0,1,0,297.1276302,38.91634115,8.139302249,1.375768229,1319.0454938005369,82.31490231108143,139.352622234
